Date,Close,Volume,Open,High,Low
03/16/2012, $83.6528, 206076492, $83.5314, $84.1714, $82.5714
03/15/2012, $83.6514, 289496777, $85.6585, $85.7157, $82.65
03/14/2012, $84.2257, 353599156, $82.5785, $84.96, $82.2
03/13/2012, $81.1571, 172173592, $79.6485, $81.1685, $79.3928
03/12/2012, $78.8571, 101001000, $78.426, $78.8571, $78.1428
03/09/2012, $77.8814, 104560151, $77.7443, $78.2485, $77.5871
03/08/2012, $77.4271, 128668929, $76.3843, $77.57, $76.0171
03/07/2012, $75.8128, 198964910, $76.6857, $76.8257, $74.7571
03/06/2012, $75.7514, 202211301, $74.8085, $76.2414, $73.7458
03/05/2012, $76.1657, 201797181, $77.9171, $78.2114, $75.1428
03/02/2012, $77.8828, 107544392, $77.7485, $78.1143, $77.5028
03/01/2012, $77.7814, 170563731, $78.31, $78.3157, $76.9671
02/29/2012, $77.4914, 237448891, $77.3657, $78.23, $76.5285
02/28/2012, $76.4871, 149434575, $75.4228, $76.4871, $75.1214
02/27/2012, $75.1085, 136457481, $74.4728, $75.5, $73.7543
02/24/2012, $74.63, 103715531, $74.2385, $74.7, $74.0914
02/23/2012, $73.77, 141721973, $73.5828, $73.9756, $72.7857
02/22/2012, $73.2914, 120564116, $73.2971, $73.6414, $72.7243
02/21/2012, $73.55, 150412545, $72.4114, $73.55, $72.0171
02/17/2012, $71.7314, 133666300, $71.8728, $72.5385, $71.4714
02/16/2012, $71.7443, 235805641, $70.2143, $72.1271, $69.5186
02/15/2012, $71.0957, 374517892, $73.4657, $75.1843, $70.9843
02/14/2012, $72.78, 114963904, $72.0943, $72.7943, $71.7143
02/13/2012, $71.8, 128970559, $71.3614, $71.9757, $71.0128
02/10/2012, $70.4886, 157587127, $70.1371, $71.0886, $69.7928
02/09/2012, $70.4528, 220416976, $68.68, $70.9643, $68.6514
02/08/2012, $68.0971, 101696381, $67.2143, $68.1128, $67.1
02/07/2012, $66.9757, 78941684, $66.4643, $67.1071, $66.3687
02/06/2012, $66.2814, 62225658, $65.4828, $66.4257, $65.4573
02/03/2012, $65.6686, 71618981, $65.3286, $65.7143, $65.08
02/02/2012, $65.0171, 46615058, $65.1286, $65.31, $64.8543
02/01/2012, $65.17, 67269418, $65.4871, $65.57, $65.0786
01/31/2012, $65.2114, 97874379, $65.0843, $65.4628, $64.7243
01/30/2012, $64.7157, 94626868, $63.6728, $64.8428, $63.6271
01/27/2012, $63.8971, 74902122, $63.4771, $64.0686, $63.3957
01/26/2012, $63.5186, 80913094, $64.0514, $64.1128, $63.3057
01/25/2012, $63.8086, 239249712, $64.92, $64.9214, $63.39
01/24/2012, $60.0586, 127725188, $60.7286, $60.7286, $59.9357
01/23/2012, $61.0584, 76162193, $60.3814, $61.2071, $60.3286
01/20/2012, $60.0428, 103061661, $61.07, $61.0714, $59.9643
01/19/2012, $61.1071, 65151043, $61.45, $61.6241, $60.93
01/18/2012, $61.3014, 68859875, $60.9943, $61.3528, $60.9
01/17/2012, $60.6714, 60589792, $60.6, $60.8557, $60.4228
01/13/2012, $59.9728, 56446393, $59.9571, $60.0643, $59.8086
01/12/2012, $60.1986, 53125179, $60.3257, $60.4143, $59.8214
01/11/2012, $60.3643, 53739093, $60.3828, $60.4071, $59.9014
