Date,Open,High,Low,Close,Adj Close,Volume
2014-06-19,15.258667,15.687333,15.133333,15.186000,15.186000,131896500
2014-06-20,15.234667,15.419333,15.080000,15.306000,15.306000,73558500
2014-06-23,15.300667,15.932667,15.214667,15.814667,15.814667,116866500
2014-06-24,15.931333,16.125334,15.442000,15.500000,15.500000,121138500
2014-06-25,15.536667,15.836667,15.349333,15.792667,15.792667,87024000
2014-06-26,15.811333,16.026667,15.614000,15.706667,15.706667,76821000
2014-06-27,15.646000,16.000000,15.633333,15.937333,15.937333,84525000
2014-06-30,15.970000,16.299334,15.933333,16.004000,16.004000,72429000
2014-07-01,16.164000,16.229334,15.913333,15.981333,15.981333,65041500
2014-07-02,16.044001,16.155333,15.138000,15.295333,15.295333,120411000
2014-07-03,15.419333,15.460000,14.933333,15.283333,15.283333,77500500
2014-07-07,15.166667,15.318667,14.693333,14.844000,14.844000,88405500
2014-07-08,14.576667,14.730667,14.284667,14.604667,14.604667,117543000
2014-07-09,14.751333,14.948000,14.614000,14.870667,14.870667,61731000
2014-07-10,14.478667,14.814667,14.402667,14.630667,14.630667,72958500
2014-07-11,14.707333,14.773333,14.506667,14.542000,14.542000,49534500
2014-07-14,14.666000,15.252667,14.363333,15.113333,15.113333,108048000
2014-07-15,15.115333,15.176667,14.540000,14.638667,14.638667,85777500
2014-07-16,14.788000,14.986667,14.454667,14.477333,14.477333,60667500
2014-07-17,14.410667,14.703333,14.240000,14.360000,14.360000,69741000
2014-07-18,14.396667,14.747333,14.395333,14.668000,14.668000,63805500
2014-07-21,14.483333,14.880667,14.448000,14.702667,14.702667,57333000
2014-07-22,14.812667,14.886667,14.607333,14.638667,14.638667,40950000
2014-07-23,14.667333,14.983333,14.628667,14.832667,14.832667,46249500
2014-07-24,14.883333,15.006667,14.720000,14.902667,14.902667,48682500
2014-07-25,14.848000,15.131333,14.783333,14.904667,14.904667,46306500
2014-07-28,14.950000,15.466667,14.760000,14.988000,14.988000,97714500
2014-07-29,15.107333,15.220000,14.990667,15.000667,15.000667,50736000
2014-07-30,14.794667,15.306667,14.736000,15.261333,15.261333,73917000
2014-07-31,15.284000,15.426667,14.766667,14.886667,14.886667,116236500
2014-08-01,15.072667,15.833333,15.066667,15.551333,15.551333,178437000
2014-08-04,15.625333,16.033333,15.551333,15.901333,15.901333,89395500
2014-08-05,15.831333,16.199333,15.712667,15.899333,15.899333,80829000
2014-08-06,15.926667,16.761333,15.905333,16.595333,16.595333,138739500
2014-08-07,16.674667,17.112667,16.608000,16.826000,16.826000,112183500
2014-08-08,16.743999,16.784000,16.433332,16.542000,16.542000,76351500
