Date,Close,Volume,Open,High,Low
12/10/2015, $116.17, 29158640, $116.04, $116.94, $115.51
12/09/2015, $115.62, 46301930, $117.64, $117.69, $115.08
12/08/2015, $118.23, 34275420, $117.52, $118.6, $116.86
12/07/2015, $118.28, 32063100, $118.98, $119.86, $117.81
12/04/2015, $119.03, 57717870, $115.29, $119.25, $115.11
12/03/2015, $115.2, 41511380, $116.55, $116.79, $114.22
12/02/2015, $116.28, 33316990, $117.05, $118.11, $116.08
12/01/2015, $117.34, 34806250, $118.75, $118.81, $116.86
11/30/2015, $118.3, 38063130, $117.99, $119.41, $117.75
11/27/2015, $117.81, 13046450, $118.29, $118.41, $117.6
11/25/2015, $118.03, 21341960, $119.21, $119.23, $117.92
11/24/2015, $118.88, 42747950, $117.33, $119.35, $117.12
11/23/2015, $117.75, 32445680, $119.27, $119.73, $117.34
11/20/2015, $119.3, 34135230, $119.2, $119.92, $118.85
11/19/2015, $118.78, 43233950, $117.64, $119.75, $116.76
11/18/2015, $117.29, 46559730, $115.76, $117.49, $115.5
11/17/2015, $113.69, 27584020, $114.92, $115.05, $113.32
11/16/2015, $114.175, 37979570, $111.38, $114.24, $111
11/13/2015, $112.34, 45555300, $115.2, $115.57, $112.27
11/12/2015, $115.72, 32461350, $116.26, $116.82, $115.65
11/11/2015, $116.11, 45179400, $116.37, $117.42, $115.21
11/10/2015, $116.77, 59029400, $116.9, $118.07, $116.061
11/09/2015, $120.57, 33829290, $120.96, $121.81, $120.05
11/06/2015, $121.06, 33009110, $121.11, $121.81, $120.62
11/05/2015, $120.92, 39483400, $121.85, $122.69, $120.18
11/04/2015, $122, 44829060, $123.13, $123.82, $121.62
11/03/2015, $122.57, 45479260, $120.79, $123.49, $120.7
11/02/2015, $121.18, 32152870, $119.87, $121.36, $119.61
10/30/2015, $119.5, 49305220, $120.99, $121.22, $119.45
10/29/2015, $120.53, 51106100, $118.7, $120.69, $118.27
10/28/2015, $119.27, 85436210, $116.93, $119.3, $116.06
10/27/2015, $114.55, 67673450, $115.4, $116.54, $113.99
10/26/2015, $115.28, 66139770, $118.08, $118.13, $114.92
10/23/2015, $119.08, 59251740, $116.7, $119.228, $116.33
10/22/2015, $115.5, 41430660, $114.33, $115.5, $114.1
10/21/2015, $113.76, 42276880, $114, $115.58, $113.7
10/20/2015, $113.77, 48929200, $111.34, $114.17, $110.82
10/19/2015, $111.73, 29723750, $110.8, $111.75, $110.11
10/16/2015, $111.04, 38794930, $111.78, $112, $110.53
10/15/2015, $111.86, 37622200, $110.93, $112.1, $110.49
10/14/2015, $110.21, 44434220, $111.29, $111.52, $109.56
10/13/2015, $111.79, 32970790, $110.82, $112.45, $110.68
10/12/2015, $111.6, 30386830, $112.73, $112.75, $111.44
10/09/2015, $112.12, 52720620, $110, $112.28, $109.49
10/08/2015, $109.5, 61747260, $110.19, $110.19, $108.21
10/07/2015, $110.78, 46717770, $111.74, $111.77, $109.41
10/06/2015, $111.31, 48702200, $110.63, $111.74, $109.765
10/05/2015, $110.78, 52033100, $109.88, $111.3698, $109.07
10/02/2015, $110.38, 57774940, $108.01, $111.0136, $107.55
10/01/2015, $109.58, 63849470, $109.07, $109.62, $107.31
09/30/2015, $110.3, 66300930, $110.17, $111.54, $108.73
09/29/2015, $109.06, 73230280, $112.83, $113.51, $107.86
09/28/2015, $112.44, 51861990, $113.85, $114.57, $112.44
09/25/2015, $114.71, 56005550, $116.44, $116.69, $114.02
09/24/2015, $115, 50061580, $113.25, $115.5, $112.37
09/23/2015, $114.32, 35678360, $113.63, $114.72, $113.3
09/22/2015, $113.4, 50278030, $113.38, $114.18, $112.5201
09/21/2015, $115.21, 46594220, $113.67, $115.37, $113.66
09/18/2015, $113.45, 73991000, $112.21, $114.3, $111.87
09/17/2015, $113.92, 63712340, $115.66, $116.49, $113.715
09/16/2015, $116.41, 37080720, $116.25, $116.54, $115.44
09/15/2015, $116.28, 43218350, $115.93, $116.53, $114.42
09/14/2015, $115.31, 58279570, $116.58, $116.89, $114.86
09/11/2015, $114.21, 49793750, $111.79, $114.21, $111.76
09/10/2015, $112.57, 62800770, $110.27, $113.2825, $109.9
09/09/2015, $110.15, 84757780, $113.76, $114.02, $109.77
09/08/2015, $112.31, 54507300, $111.65, $112.56, $110.32
09/04/2015, $109.27, 49904460, $108.97, $110.45, $108.51
09/03/2015, $110.37, 53142590, $112.49, $112.78, $110.04
09/02/2015, $112.34, 61681250, $110.23, $112.34, $109.131
09/01/2015, $107.72, 76562170, $110.15, $111.88, $107.36
08/31/2015, $112.76, 56111590, $112.03, $114.53, $112
